Number;TimePoint;Med1;Med2;Med3;Med4;Med5;Med6;Med7;Med8;Med9;Estadio;Embriao;Cultura
11;8;4.44;3.93;1.95;2.48;1.97;;;;0.28;6;9;2
11;9;4.66;4.1;2.14;2.54;1.97;0.58;;0.12;0.39;7;9;2
11;10;4.96;4.16;2.36;2.61;1.8;0.65;;0.11;0.51;7;9;2
11;11;5.2;4.19;2.63;2.58;1.56;0.82;1.73;0.28;0.62;7;9;2
11;12;5.37;4.35;2.8;2.57;1.55;0.82;1.75;0.41;0.73;7;9;2
11;13;5.65;4.58;3.27;2.38;1.31;1.24;1.8;0.42;0.85;7;9;2
11;14;5.9;4.87;3.53;2.38;1.34;1.25;1.87;0.6;0.98;8;9;2
11;15;6.14;5.13;3.69;2.45;1.45;1.2;1.92;0.78;1.07;8;9;2
11;16;;;;;;;;;;;9;2
11;17;;;;;;;;;;;9;2
11;18;;;;;;;;;;;9;2
11;19;;;;;;;;;;;9;2
11;20;;;;;;;;;;;9;2
11;21;;;;;;;;;;;9;2
11;22;;;;;;;;;;;9;2
11;23;;;;;;;;;;;9;2
7;-8;;;;;;;;;;;10;2
7;-7;;;;;;;;;;;10;2
7;-6;;;;;;;;;;;10;2
7;-5;;;;;;;;;;;10;2
7;-4;;;;;;;;;;;10;2
7;-3;;;;;;;;;;;10;2
7;-2;;;;;;;;;;;10;2
7;-1;;;;;;;;;;;10;2
7;0;;;;;;;;;;;10;2
7;1;;;;;;;;;;;10;2
7;2;;;;;;;;;;;10;2
7;3;;;;;;;;;;;10;2
7;4;;;;;;;;;;;10;2
7;5;;;;;;;;;;;10;2
7;6;;;;;;;;;;;10;2
7;7;4.11;3.53;1.59;2.51;1.93;;;;0.1;6;10;2
7;8;4.17;3.42;1.76;2.42;1.66;;;;0.17;6;10;2
7;9;4.32;3.61;1.98;2.34;1.63;;;;0.25;6;10;2
7;10;4.45;3.79;2.15;2.3;1.64;0.63;;0.11;0.3;7;10;2
7;11;4.7;4.03;2.41;2.3;1.62;0.64;1.69;0.24;0.47;7;10;2
7;12;4.83;4.14;2.77;2.06;1.38;0.84;1.75;0.37;0.61;7;10;2
7;13;5.02;4.33;2.96;2.06;1.38;0.82;1.79;0.51;0.75;8;10;2
7;14;;;;;;;;;;;10;2
7;15;;;;;;;;;;;10;2
7;16;;;;;;;;;;;10;2
7;17;;;;;;;;;;;10;2
7;18;;;;;;;;;;;10;2
7;19;;;;;;;;;;;10;2
7;20;;;;;;;;;;;10;2
7;21;;;;;;;;;;;10;2
7;22;;;;;;;;;;;10;2
7;23;;;;;;;;;;;10;2
24;-8;;;;;;;;;;;11;2
24;-7;;;;;;;;;;;11;2
24;-6;;;;;;;;;;;11;2
24;-5;;;;;;;;;;;11;2
24;-4;;;;;;;;;;;11;2
24;-3;;;;;;;;;;;11;2
24;-2;2.5;;0.41;2.09;;;;;;5;11;2
24;-1;2.67;;0.59;2.07;;;;;;5;11;2
24;0;2.87;;0.49;2.39;;;;;;5;11;2
24;1;3.09;;0.64;2.44;;;;;;5;11;2
24;2;3.29;3.03;0.92;2.38;2.12;;;;;5;11;2
24;3;3.46;3.24;1.15;2.3;2.09;;;;;5;11;2
24;4;3.85;3.41;1.36;2.49;2.04;;;;;6;11;2
24;5;4.07;3.62;1.5;2.57;2.11;;;;0.07;6;11;2
24;6;4.26;3.72;1.65;2.61;2.06;;;;0.15;6;11;2
24;7;4.52;3.95;1.9;2.62;2.06;;;;0.27;6;11;2
24;8;4.31;3.74;2.23;2.07;1.5;;;;0.36;6;11;2
24;9;4.47;3.87;2.42;2.04;1.45;0.57;;0.13;0.49;7;11;2
24;10;4.52;3.81;2.65;1.87;1.15;0.67;1.92;0.23;0.56;7;11;2
24;11;4.63;4.07;2.66;1.96;1.39;0.8;1.77;0.28;0.64;7;11;2
24;12;4.76;4.17;2.76;1.99;1.4;0.76;1.77;0.41;0.72;7;11;2
24;13;4.82;4.29;2.86;1.96;1.44;0.7;1.78;0.57;0.79;8;11;2
24;14;4.96;4.16;3;1.96;1.16;0.85;1.77;0.57;0.87;8;11;2
24;15;5.06;4.33;3.1;1.96;1.24;0.83;1.76;0.71;0.94;8;11;2
24;16;5.18;4.59;3.21;1.96;1.38;0.92;1.76;0.71;0.99;8;11;2
24;17;5.35;4.76;3.34;2;1.41;0.91;1.78;0.85;1.04;8;11;2
24;18;5.52;4.94;3.45;2.07;1.49;0.99;1.81;0.87;1.1;8;11;2
24;19;5.68;5.03;3.64;2.04;1.39;1.04;1.79;1.04;1.15;9;11;2
24;20;5.77;5.25;3.79;1.98;1.47;1.19;1.78;1.05;1.18;9;11;2
24;21;5.89;5.01;3.83;2.04;1.17;1.12;1.77;1.16;1.21;9;11;2
24;22;;;;;;;;;;;11;2
24;23;;;;;;;;;;;11;2
15;-8;;;;;;;;;;;12;2
15;-7;;;;;;;;;;;12;2
15;-6;;;;;;;;;;;12;2
15;-5;;;;;;;;;;;12;2
15;-4;;;;;;;;;;;12;2
15;-3;;;;;;;;;;;12;2
15;-2;;;;;;;;;;;12;2
15;-1;;;;;;;;;;;12;2
15;0;;;;;;;;;;;12;2
15;1;3.623;3.282;0.503;3.13;2.717;;;;;5;12;2
15;2;4.045;3.566;0.692;3.381;2.931;;;;;5;12;2
15;3;4.239;3.718;0.849;3.438;2.869;;;;;5;12;2
15;4;4.538;4.078;1.209;3.319;2.954;;;;;5;12;2
15;5;4.733;4.206;1.446;3.296;2.807;;;;;5;12;2
15;6;4.894;4.424;1.593;3.315;2.836;;;;0.071;6;12;2
15;7;5.027;4.42;1.778;3.263;2.637;;;;0.156;6;12;2
15;8;5.031;4.396;1.987;3.035;2.376;0.341;;0.104;0.285;7;12;2
15;9;5.046;4.197;2.309;2.75;1.878;0.63;;0.123;0.398;7;12;2
15;10;5.112;4.268;2.466;2.618;1.807;0.63;1.726;0.242;0.507;7;12;2
15;11;5.235;4.23;2.594;2.608;1.66;0.74;1.788;0.27;0.65;7;12;2
15;12;5.34;4.358;2.931;2.414;1.499;0.84;1.854;0.436;0.801;7;12;2
15;13;5.387;4.434;3.078;2.281;1.465;0.81;1.897;0.616;0.906;8;12;2
15;14;5.491;4.543;3.168;2.309;1.427;0.88;1.935;0.607;1.02;8;12;2
15;15;;;;;;;;;;;12;2
15;16;;;;;;;;;;;12;2
15;17;;;;;;;;;;;12;2
15;18;;;;;;;;;;;12;2
15;19;;;;;;;;;;;12;2
15;20;;;;;;;;;;;12;2
15;21;;;;;;;;;;;12;2
15;22;;;;;;;;;;;12;2
15;23;;;;;;;;;;;12;2
17;-8;;;;;;;;;;;13;2
17;-7;;;;;;;;;;;13;2
17;-6;;;;;;;;;;;13;2
17;-5;;;;;;;;;;;13;2
17;-4;;;;;;;;;;;13;2
17;-3;;;;;;;;;;;13;2
17;-2;;;;;;;;;;;13;2
17;-1;;;;;;;;;;;13;2
17;0;;;;;;;;;;;13;2
17;1;;;;;;;;;;;13;2
17;2;3.76;2.53;0.33;3.43;2.2;;;;;5;13;2
17;3;3.93;2.55;0.26;3.67;2.29;;;;;5;13;2
17;4;4.19;3.04;0.42;3.78;2.62;;;;;5;13;2
17;5;4.49;3.17;0.65;3.84;2.52;;;;;5;13;2
17;6;4.92;3.75;1.21;3.7;2.54;;;;;5;13;2
17;7;5.21;3.85;1.62;3.59;2.23;;;;0.07;6;13;2
17;8;5.33;3.93;1.85;3.48;2.07;;;;0.18;6;13;2
17;9;5.43;4.14;2.03;3.4;2.11;;;;0.28;6;13;2
17;10;5.61;4.33;2.34;3.26;1.99;0.49;;0.13;0.39;7;13;2
17;11;5.64;4.48;2.68;2.95;1.8;0.74;1.87;0.28;0.55;7;13;2
17;12;5.73;4.68;3.08;2.65;1.59;0.91;1.94;0.43;0.69;7;13;2
17;13;5.79;4.66;3.25;2.53;1.41;1.03;1.98;0.45;0.82;7;13;2
17;14;5.8;4.78;3.49;2.31;1.29;1.08;2.01;0.6;0.96;8;13;2
17;15;5.92;4.99;3.73;2.19;1.27;1.14;2.04;0.76;1.09;8;13;2
17;16;;5.04;3.9;;1.14;1.27;2.08;0.77;1.19;8;13;2
17;17;;5.26;4.07;;1.2;1.25;2.11;0.94;1.29;8;13;2
17;18;;;;;;;;;;;13;2
17;19;;;;;;;;;;;13;2
17;20;;;;;;;;;;;13;2
17;21;;;;;;;;;;;13;2
17;22;;;;;;;;;;;13;2
17;23;;;;;;;;;;;13;2
