EmbryoNr;Measure;T-8;T-7;T-6;T-5;T-4;T-3;T-2;T-1;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23
Emb3;Med5;NA;NA;NA;NA;NA;NA;NA;NA;3.11;2.99;2.8;2.8;2.64;2.5;2.44;2.07;2.07;1.73;1.8;1.73;1.68;1.5;1.53;1.53;1.52;1.42;1.39;1.27;1.3;1.25;1.13;1.01
Emb4;Med5;NA;NA;NA;NA;NA;NA;NA;NA;2.42;2.51;2.58;2.53;2.63;2.6;2.66;2.71;2.56;1.92;1.83;1.89;1.62;1.47;1.52;1.52;1.58;1.51;1.56;NA;NA;NA;NA;NA
Emb5;Med5;NA;NA;NA;NA;NA;NA;NA;NA;2.5;2.58;2.97;2.82;2.72;2.84;2.87;2.77;2.74;2.43;2.17;2.07;2.03;1.95;2.03;1.78;1.69;1.71;1.57;1.64;NA;NA;NA;NA
Emb6;Med5;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.25;2.34;2.41;2.42;2.41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb7;Med5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.84;2.64;2.38;2.56;2.3;2.07;2.15;2.01;1.91;1.97;1.9;1.95;1.95;1.76;1.63;1.66;1.71;1.58;1.25;1.46;NA
Emb8;Med5;NA;NA;NA;NA;NA;NA;NA;NA;1.91;2.16;2.19;2.17;1.92;2.07;1.98;1.95;1.87;1.91;1.4;1.38;1.28;1.56;1.27;1.29;1.39;1.25;1.01;1.12;1.05;1.15;1.49;NA
Emb9;Med5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.09;2.06;2.16;1.97;1.97;1.8;1.56;1.55;1.31;1.34;1.45;NA;NA;NA;NA;NA;NA;NA;NA
Emb10;Med5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.93;1.66;1.63;1.64;1.62;1.38;1.38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb11;Med5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.12;2.09;2.04;2.11;2.06;2.06;1.5;1.45;1.15;1.39;1.4;1.44;1.16;1.24;1.38;1.41;1.49;1.39;1.47;1.17;NA;NA
Emb12;Med5;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.717;2.931;2.869;2.954;2.807;2.836;2.637;2.376;1.878;1.807;1.66;1.499;1.465;1.427;NA;NA;NA;NA;NA;NA;NA;NA;NA
